iter	Passed	Remaining
717	26457	10391
718	26495	10355
719	26532	10318
720	26573	10282
721	26618	10249
722	26654	10211
723	26692	10175
724	26787	10160
725	26835	10127
726	26878	10093
727	26919	10057
728	26958	10021
729	26993	9984
730	27032	9947
731	27083	9915
732	27119	9878
733	27154	9840
734	27196	9805
735	27239	9770
736	27275	9733
737	27311	9695
738	27348	9658
739	27381	9620
740	27415	9582
741	27449	9544
742	27481	9505
743	27513	9467
744	27544	9427
745	27573	9388
746	27607	9350
747	27641	9312
748	27672	9273
749	27702	9234
750	27733	9195
751	27873	9192
752	27913	9156
753	27953	9119
754	27985	9081
755	28018	9043
756	28060	9007
757	28092	8968
758	28129	8931
759	28160	8892
760	28192	8854
761	28223	8815
762	28257	8777
763	28292	8739
764	28328	8702
765	28362	8664
766	28403	8628
767	28453	8595
768	28490	8558
769	28531	8522
770	28565	8484
771	28621	8453
772	28666	8418
773	28704	8381
774	28742	8344
775	28778	8307
776	28811	8268
777	28847	8231
778	28962	8216
779	29002	8180
780	29042	8143
781	29074	8105
782	29112	8068
783	29162	8034
784	29200	7997
785	29236	7960
786	29267	7921
787	29297	7882
788	29330	7843
789	29365	7805
790	29400	7768
791	29437	7730
792	29469	7692
793	29516	7658
794	29564	7623
795	29610	7588
796	29651	7552
797	29692	7516
798	29733	7479
799	29777	7444
800	29808	7405
801	29842	7367
802	29874	7329
803	29905	7290
804	29935	7251
805	29971	7213
806	30064	7190
807	30115	7156
808	30147	7117
809	30187	7081
810	30220	7042
811	30252	7004
812	30291	6967
813	30324	6929
814	30355	6890
815	30392	6853
816	30440	6818
817	30502	6786
818	30569	6755
819	30618	6721
820	30668	6686
821	30700	6648
822	30731	6609
823	30762	6570
824	30793	6532
825	30825	6493
826	30856	6454
827	30887	6416
828	30923	6378
829	30955	6340
830	30985	6301
831	31016	6262
832	31108	6236
833	31145	6199
834	31185	6162
835	31223	6125
836	31254	6086
837	31293	6049
838	31339	6013
839	31388	5978
840	31450	5946
841	31485	5908
842	31517	5869
843	31553	5832
844	31592	5795
845	31629	5757
846	31663	5719
847	31693	5680
848	31724	5642
849	31756	5604
850	31787	5565
851	31817	5527
852	31848	5488
853	31881	5450
854	31926	5414
855	31959	5376
856	31992	5338
857	32024	5300
858	32056	5261
859	32087	5223
860	32123	5185
861	32265	5165
862	32306	5128
863	32346	5091
864	32391	5055
865	32426	5017
866	32460	4979
867	32492	4941
868	32525	4903
869	32561	4865
870	32598	4828
871	32637	4790
872	32675	4753
873	32713	4716
874	32749	4678
875	32786	4640
876	32822	4603
877	32864	4566
878	32913	4530
879	32953	4493
880	33000	4457
881	33056	4422
882	33111	4387
883	33168	4352
884	33218	4316
885	33257	4279
886	33375	4251
887	33414	4214
888	33452	4176
889	33490	4139
890	33527	4101
891	33564	4063
892	33603	4026
893	33640	3988
894	33677	3951
895	33713	3913
896	33749	3875
897	33785	3837
898	33820	3799
899	33859	3762
900	33904	3725
901	33950	3688
902	33999	3652
903	34044	3615
904	34093	3578
905	34126	3540
906	34159	3502
907	34191	3464
908	34222	3425
909	34253	3387
910	34289	3349
911	34322	3311
912	34358	3273
913	34453	3241
914	34492	3204
915	34529	3166
916	34568	3128
917	34601	3090
918	34633	3052
919	34666	3014
920	34701	2976
921	34739	2938
922	34782	2901
923	34821	2864
924	34865	2826
925	34915	2790
926	34967	2753
927	35025	2717
928	35088	2681
929	35127	2644
930	35161	2605
931	35192	2567
