Metropolitan Statistical Areas,Per capita personal income 2018,Per capita personal income 2019,Per capita personal income 2020,Per capita personal income Rank in United States 2020,Percent change 2019,Percent change 2020,Rank in United States Percent change from preceding period 2020
"Lansing-East Lansing, MI","41,190","42,535","46,323",281,3.3,8.9,51
"Laredo, TX","31,907","33,305","35,626",382,4.4,7.0,159
"Las Cruces, NM","35,805","37,413","40,218",369,4.5,7.5,120
"Las Vegas-Henderson-Paradise, NV","47,184","49,225","51,244",175,4.3,4.1,344
"Lawrence, KS","43,888","45,174","47,494",255,2.9,5.1,293
"Lawton, OK","41,236","42,700","45,538",292,3.6,6.6,190
"Lebanon, PA","47,772","49,099","52,743",147,2.8,7.4,128
"Lewiston, ID-WA","44,434","46,255","50,092",199,4.1,8.3,76
"Lewiston-Auburn, ME","40,869","42,698","46,357",279,4.5,8.6,61
"Lexington-Fayette, KY","47,827","49,814","52,559",150,4.2,5.5,276
"Lima, OH","42,427","43,268","46,500",277,2.0,7.5,123
"Lincoln, NE","49,479","50,565","53,057",141,2.2,4.9,306
"Little Rock-North Little Rock-Conway, AR","45,563","47,032","49,837",207,3.2,6.0,236
"Logan, UT-ID","39,190","41,538","44,508",314,6.0,7.2,143
"Longview, TX","42,174","43,575","45,075",303,3.3,3.4,360
"Longview, WA","43,407","45,124","48,232",236,4.0,6.9,166
"Los Angeles-Long Beach-Anaheim, CA","61,594","64,705","69,805",20,5.1,7.9,103
"Louisville/Jefferson County, KY-IN","50,313","52,288","55,676",110,3.9,6.5,200
"Lubbock, TX","43,189","44,706","46,297",282,3.5,3.6,355
"Lynchburg, VA","39,668","40,521","43,529",332,2.2,7.4,127
"Macon-Bibb County, GA","40,191","41,402","44,520",313,3.0,7.5,118
"Madera, CA","37,373","38,751","44,532",312,3.7,14.9,6
"Madison, WI","59,266","61,743","64,280",37,4.2,4.1,343
"Manchester-Nashua, NH","60,760","62,752","66,548",31,3.3,6.0,230
"Manhattan, KS","45,802","47,291","49,865",205,3.3,5.4,280
"Mankato, MN","46,008","46,951","50,562",188,2.0,7.7,108
"Mansfield, OH","39,173","40,313","43,928",327,2.9,9.0,49
"McAllen-Edinburg-Mission, TX","27,007","28,091","31,153",384,4.0,10.9,23
"Medford, OR","45,903","47,708","51,824",165,3.9,8.6,58
"Memphis, TN-MS-AR","46,481","47,904","51,155",178,3.1,6.8,176
"Merced, CA","37,193","37,952","43,914",328,2.0,15.7,4
"Miami-Fort Lauderdale-Pompano Beach, FL","59,189","61,362","64,190",38,3.7,4.6,320
"Michigan City-La Porte, IN","42,248","43,065","46,274",283,1.9,7.5,125
"Midland, MI","53,973","54,477","57,561",90,0.9,5.7,260
"Midland, TX","130,647","135,900","124,667",1,4.0,-8.3,384
"Milwaukee-Waukesha, WI","56,253","57,860","60,499",65,2.9,4.6,326
"Minneapolis-St. Paul-Bloomington, MN-WI","62,695","64,270","67,214",28,2.5,4.6,323
"Missoula, MT","49,616","51,738","54,353",129,4.3,5.1,299
"Mobile, AL","38,119","39,910","42,731",344,4.7,7.1,150
"Modesto, CA","41,850","43,402","48,954",221,3.7,12.8,11
"Monroe, LA","40,581","41,691","45,252",299,2.7,8.5,64
"Monroe, MI","47,091","48,696","52,028",161,3.4,6.8,171
"Montgomery, AL","43,156","44,473","47,446",256,3.1,6.7,186
"Morgantown, WV","43,856","44,753","46,841",268,2.0,4.7,317
"Morristown, TN","36,379","37,563","40,061",372,3.3,6.7,189
"Mount Vernon-Anacortes, WA","50,703","53,221","57,315",91,5.0,7.7,107
"Muncie, IN","36,727","38,153","40,948",364,3.9,7.3,134
"Muskegon, MI","38,141","39,769","44,000",325,4.3,10.6,25
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","39,867","41,213","43,477",334,3.4,5.5,277
"Napa, CA","70,161","73,886","82,408",8,5.3,11.5,17
"Naples-Marco Island, FL","99,997","103,205","103,865",5,3.2,0.6,381
"Nashville-Davidson--Murfreesboro--Franklin, TN","59,105","61,516","62,076",47,4.1,0.9,380
"New Bern, NC","41,910","44,765","48,121",240,6.8,7.5,121
"New Haven-Milford, CT","54,773","56,710","60,092",67,3.5,6.0,237
"New Orleans-Metairie, LA","52,574","54,660","57,891",87,4.0,5.9,238
"New York-Newark-Jersey City, NY-NJ-PA","75,166","77,911","82,322",9,3.7,5.7,259
"Niles, MI","47,325","48,231","52,395",152,1.9,8.6,57
"North Port-Sarasota-Bradenton, FL","58,060","59,917","61,988",48,3.2,3.5,359
"Norwich-New London, CT","56,567","58,122","61,191",57,2.7,5.3,284
