"","msa","naics","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","n.5","n5_9","n10_19","n20_49","n50_99","n100_249","n250_499","n500_999","n1000","n1000_1","n1000_2","n1000_3","n1000_4"
"23",11060,"------","G",6663,"G",60834,"G",250478,519,"261","114","77","52","8","4","N","N","N","N","N","N","N"
"24",11100,"------","G",97744,"G",1050911,"G",4397581,6353,"3157","1264","906","698","203","92","23","5","5","N","N","N","N"
"25",11140,"------","G",9485,"G",77698,"G",322070,664,"354","129","83","62","22","9","4","N","N","N","N","N","N"
"26",11180,"------","G",31737,"G",352402,"G",1436205,2108,"1050","393","306","239","74","34","9","N","N","N","N","N","N"
"27",11220,"------","G",15934,"G",153781,"G",638129,1053,"593","198","128","81","26","18","7","N","N","N","N","N","N"
"28",11260,"------","G",164854,"G",2564098,"G",10456025,11161,"5952","2206","1461","983","303","175","57","16","8","4","N","N","N"
"29",11380,"------","G",6264,"G",99590,"G",411852,432,"189","100","55","64","15","8","N","N","N","N","N","N","N"
"30",11420,"------","G",15036,"G",132610,"G",550152,955,"514","176","117","87","33","20","6","N","N","N","N","N","N"
"31",11460,"------","G",159215,"G",2325241,"G",9480130,8227,"4058","1597","1158","879","295","173","43","16","8","4","N","N","N"
"32",11500,"------","G",36752,"G",331849,"G",1327096,2245,"1035","506","321","239","91","34","16","N","N","N","N","N","N"
"33",11540,"------","G",117782,"G",1372138,"G",5608339,5925,"2704","1124","935","729","244","127","40","15","7","4","3","N","N"
"34",11580,"------","H",5729,"H",51424,"H",209713,490,"287","89","67","27","11","5","3","N","N","N","N","N","N"
"35",11620,"------","G",20147,"G",229697,"G",925026,1602,"877","332","193","135","45","11","6","N","N","N","N","N","N"
"36",11660,"------","G",6868,"G",59372,"G",239628,533,"280","132","52","50","8","7","4","N","N","N","N","N","N"
"37",11680,"------","G",11489,"G",109100,"G",448329,699,"358","161","95","52","17","8","3","4","N","N","N","N","N"
"38",11700,"------","G",177409,"G",1716612,"G",7229384,13436,"7583","2415","1649","1164","357","207","37","18","6","4","N","N","N"
"39",11740,"------","G",18909,"H",169800,"H",693399,1038,"493","225","150","96","46","18","7","N","N","N","N","N","N"
"40",11780,"------","G",24440,"G",224963,"G",920032,1880,"989","394","239","161","58","31","7","N","N","N","N","N","N"
"41",11820,"------","G",15577,"G",136874,"G",594207,1532,"812","350","219","111","21","15","N","N","N","N","N","N","N"
"42",11860,"------","G",5701,"H",68997,"G",209461,362,"196","68","42","36","13","3","3","N","N","N","N","N","N"
"43",11900,"------","G",13562,"G",115127,"G",449208,1045,"493","214","177","110","34","15","N","N","N","N","N","N","N"
"44",11940,"------","G",17218,"G",170340,"G",698504,912,"426","212","122","98","23","18","9","3","N","N","N","N","N"
"45",11980,"------","G",13848,"G",128740,"G",532687,1328,"724","276","175","112","29","6","5","N","N","N","N","N","N"
"46",12020,"------","G",67560,"G",665230,"G",2673411,4893,"2601","892","656","507","147","73","10","3","4","3","N","N","N"
"47",12060,"------","G",2457928,"G",39266441,"G",147609295,148039,"85995","23070","16592","13645","4562","2960","802","280","133","69","30","24","10"
"48",12100,"------","G",110453,"G",1096199,"G",4638036,6187,"3191","1202","856","599","204","105","15","3","12","N","6","4","N"
"49",12120,"------","G",10006,"G",92525,"G",366389,741,"362","173","112","70","9","8","6","N","N","N","N","N","N"
"50",12140,"------","G",20984,"G",266876,"G",1029235,966,"447","211","133","82","48","29","13","3","N","N","N","N","N"
"51",12180,"------","G",19261,"G",185634,"G",767432,1552,"841","332","195","119","39","15","10","N","N","N","N","N","N"
"52",12220,"------","G",48188,"G",414656,"G",1700126,2952,"1405","582","437","343","107","61","13","N","N","N","N","N","N"
"53",12260,"------","G",190195,"G",2169290,"G",8844411,10850,"5296","2202","1558","1175","366","181","43","17","12","4","3","4","N"
"54",12300,"------","G",49340,"G",498822,"G",2082903,3229,"1714","632","422","301","89","47","14","7","3","N","3","N","N"
"55",12380,"------","G",13809,"H",152242,"H",703041,817,"407","180","129","68","17","10","N","N","N","N","N","N","N"
"56",12420,"------","G",896844,"G",13655508,"G",54494084,56137,"30818","9592","7073","5316","1916","986","288","99","49","23","20","6","N"
"57",12460,"------","G",6969,"G",60987,"G",243645,601,"307","147","76","56","6","5","3","N","N","N","N","N","N"
"58",12540,"------","G",199982,"G",2342746,"G",9521255,13197,"6628","2443","1980","1415","448","206","49","20","8","5","3","N","N"
"59",12580,"------","G",1203546,"G",17685869,"G",70707419,67394,"35176","12011","8853","6991","2453","1410","332","104","64","30","16","12","6"
"60",12620,"------","G",57335,"G",588602,"G",2473376,4118,"2082","795","629","405","134","58","10","N","3","N","N","N","N"
"61",12660,"------","G",31475,"G",313305,"G",1311058,1832,"911","352","249","217","50","36","9","7","N","N","N","N","N"
"62",12680,"------","G",15262,"G",160491,"G",682107,949,"509","181","128","76","29","13","9","4","N","N","N","N","N"
"63",12700,"------","G",77116,"G",835656,"G",3814004,8679,"5342","1567","950","601","127","80","8","3","N","N","N","N","N"
"64",12740,"------","G",25956,"H",308285,"H",1244693,2179,"1212","422","292","182","42","21","5","N","N","N","N","N","N"
"65",12780,"------","G",18297,"H",317960,"H",976619,1124,"574","236","152","103","33","18","4","3","N","N","N","N","N"
"66",12820,"------","G",5517,"G",41119,"G",177080,435,"225","99","56","33","7","14","N","N","N","N","N","N","N"
"67",12860,"------","G",17042,"G",150178,"G",643159,1259,"625","264","184","122","39","18","6","N","N","N","N","N","N"
"68",12900,"------","G",15779,"G",145422,"G",624802,787,"376","181","115","74","20","12","4","3","N","N","N","N","N"
"69",12940,"------","G",349982,"G",4538908,"G",18380865,18509,"8918","3641","2717","2068","670","364","82","26","23","12","6","4","N"
"70",12980,"------","G",51721,"G",687392,"G",2660901,2440,"1109","563","355","249","92","45","12","10","5","N","3","N","N"
"71",13020,"------","G",30070,"G",300232,"G",1220325,2088,"928","499","324","237","52","38","7","N","N","N","N","N","N"
"72",13060,"------","G",8156,"H",140530,"G",474766,732,"408","154","107","43","12","3","4","N","N","N","N","N","N"
"73",13100,"------","G",6940,"G",63920,"G",260885,655,"379","128","82","47","12","3","3","N","N","N","N","N","N"
"74",13140,"------","G",131986,"G",1717495,"G",6812247,7936,"3892","1572","1136","842","286","145","38","20","5","4","N","N","N"
"75",13180,"------","G",32302,"H",412166,"H",1808178,1725,"899","333","231","143","69","38","4","5","3","N","N","N","N"
"76",13220,"------","G",34647,"G",333691,"G",1352184,2423,"1157","543","389","207","79","30","14","3","N","N","N","N","N"
