MSA,year
"San Diego-Chula Vista-Carlsbad, CA",2020
"San Francisco-Redwood City-South San Francisco, CA",2020
"San Jose-Sunnyvale-Santa Clara, CA",2020
"San Luis Obispo-Paso Robles, CA",2020
"Santa Cruz-Watsonville, CA",2020
"Santa Maria-Santa Barbara, CA",2020
"Santa Rosa-Petaluma, CA",2020
"Savannah, GA",2020
"Scranton--Wilkes-Barre, PA",2020
"Seattle-Bellevue-Everett, WA",2020
"Sherman-Denison, TX",2020
"Silver Spring-Frederick-Rockville, MD",2020
"Spokane-Spokane Valley, WA",2020
"Springfield, MO",2020
"Springfield, OH",2020
"Stockton, CA",2020
"Tacoma-Lakewood, WA",2020
"Tampa-St. Petersburg-Clearwater, FL",2020
"The Villages, FL",2020
"Toledo, OH",2020
"Trenton-Princeton, NJ",2020
"Tuscaloosa, AL",2020
"Tyler, TX",2020
"Valdosta, GA",2020
"Virginia Beach-Norfolk-Newport News, VA-NC",2020
"Waco, TX",2020
"Warner Robins, GA",2020
"Detroit-Warren-Dearborn, MI",2020
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020
"Wenatchee, WA",2020
"West Palm Beach-Boca Raton-Delray Beach, FL",2020
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2020
"Winston-Salem, NC",2020
"Youngstown-Warren-Boardman, OH-PA",2020
"Abilene, TX",2018
"Akron, OH",2018
"Albany-Lebanon, OR",2018
"Albany-Schenectady-Troy, NY",2018
"Allentown-Bethlehem-Easton, PA-NJ",2018
"Altoona, PA",2018
"Amarillo, TX",2018
"Ames, IA",2018
"Anaheim-Santa Ana-Irvine, CA",2018
"Anchorage, AK",2018
"Ann Arbor, MI",2018
"Anniston-Oxford, AL",2018
"Appleton, WI",2018
"Asheville, NC",2018
"Athens-Clarke County, GA",2018
"Atlanta-Sandy Springs-Alpharetta, GA",2018
"Atlantic City-Hammonton, NJ",2018
"Augusta-Richmond County, GA-SC",2018
"Austin-Round Rock-Georgetown, TX",2018
"Bakersfield, CA",2018
"Baltimore-Columbia-Towson, MD",2018
"Barnstable Town, MA",2018
"Battle Creek, MI",2018
"Bay City, MI",2018
"Beaumont-Port Arthur, TX",2018
"Bellingham, WA",2018
"Bend, OR",2018
"Binghamton, NY",2018
"Birmingham-Hoover, AL",2018
"Blacksburg-Christiansburg, VA",2018
"Bloomington, IL",2018
"Bloomsburg-Berwick, PA",2018
"Boston-Cambridge-Newton, MA-NH",2018
"Boulder, CO",2018
"Bremerton-Silverdale-Port Orchard, WA",2018
"Brownsville-Harlingen, TX",2018
"Brunswick, GA",2018
"Buffalo-Cheektowaga, NY",2018
"Burlington, NC",2018
"Burlington-South Burlington, VT",2018
"California-Lexington Park, MD",2018
"Boston-Cambridge-Newton, MA-NH",2018
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2018
"Canton-Massillon, OH",2018
"Cape Coral-Fort Myers, FL",2018
"Cape Girardeau, MO-IL",2018
"Carbondale-Marion, IL",2018
"Cedar Rapids, IA",2018
"Chambersburg-Waynesboro, PA",2018
"Champaign-Urbana, IL",2018
"Charleston, WV",2018
"Charlotte-Concord-Gastonia, NC-SC",2018
"Charlottesville, VA",2018
"Chattanooga, TN-GA",2018
"Cheyenne, WY",2018
"Chicago-Naperville-Arlington Heights, IL",2018
"Chico, CA",2018
"Cleveland-Elyria, OH",2018
"College Station-Bryan, TX",2018
"Colorado Springs, CO",2018
"Columbia, MO",2018
"Columbus, GA-AL",2018
"Columbus, OH",2018
"Corpus Christi, TX",2018
"Corvallis, OR",2018
"Crestview-Fort Walton Beach-Destin, FL",2018
"Cumberland, MD-WV",2018
"Dallas-Fort Worth-Arlington, TX",2018
"Dalton, GA",2018
"Danville, IL",2018
"Daphne-Fairhope-Foley, AL",2018
"Davenport-Moline-Rock Island, IA-IL",2018
"Dayton, OH",2018
"Decatur, AL",2018
"Decatur, IL",2018
"Deltona-Daytona Beach-Ormond Beach, FL",2018
"Denver-Aurora-Lakewood, CO",2018
"Des Moines-West Des Moines, IA",2018
"Detroit-Warren-Dearborn, MI",2018
"Dothan, AL",2018
"Dover, DE",2018
"Dubuque, IA",2018
"Duluth, MN-WI",2018
"Durham-Chapel Hill, NC",2018
"Dutchess County-Putnam County, NY",2018
"East Stroudsburg, PA",2018
"El Centro, CA",2018
"Chicago-Naperville-Elgin, IL-IN-WI",2018
"El Paso, TX",2018
"Enid, OK",2018
"Erie, PA",2018
"Eugene-Springfield, OR",2018
"Fayetteville, NC",2018
"Fayetteville-Springdale-Rogers, AR",2018
"Flint, MI",2018
"Florence-Muscle Shoals, AL",2018
"Fond du Lac, WI",2018
"Fort Collins, CO",2018
"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",2018
"Fort Smith, AR-OK",2018
"Dallas-Fort Worth-Arlington, TX",2018
"Fresno, CA",2018
"Gadsden, AL",2018
"Gainesville, FL",2018
"Gainesville, GA",2018
"Gettysburg, PA",2018
"Glens Falls, NY",2018
"Goldsboro, NC",2018
"Grand Forks, ND-MN",2018
"Grand Island, NE",2018
"Grand Junction, CO",2018
"Grand Rapids-Kentwood, MI",2018
"Grants Pass, OR",2018
"Greeley, CO",2018
"Green Bay, WI",2018
"Greensboro-High Point, NC",2018
"Greenville, NC",2018
"Gulfport-Biloxi, MS",2018
"Hagerstown-Martinsburg, MD-WV",2018
"Hanford-Corcoran, CA",2018
"Harrisburg-Carlisle, PA",2018
"Harrisonburg, VA",2018
"Hickory-Lenoir-Morganton, NC",2018
"Homosassa Springs, FL",2018
"Hot Springs, AR",2018
"Houston-The Woodlands-Sugar Land, TX",2018
"Huntsville, AL",2018
"Ithaca, NY",2018
"Jackson, MI",2018
"Jackson, MS",2018
"Jackson, TN",2018
"Jacksonville, FL",2018
"Jacksonville, NC",2018
"Janesville-Beloit, WI",2018
"Jefferson City, MO",2018
"Johnson City, TN",2018
"Johnstown, PA",2018
"Joplin, MO",2018
"Kalamazoo-Portage, MI",2018
"Kankakee, IL",2018
"Kansas City, MO-KS",2018
"Kennewick-Richland, WA",2018
"Killeen-Temple, TX",2018
"Kingsport-Bristol, TN-VA",2018
"Kingston, NY",2018
"Knoxville, TN",2018
"La Crosse-Onalaska, WI-MN",2018
"Chicago-Naperville-Elgin, IL-IN-WI",2018
"Lake Havasu City-Kingman, AZ",2018
"Lakeland-Winter Haven, FL",2018
"Lancaster, PA",2018
"Lansing-East Lansing, MI",2018
"Laredo, TX",2018
"Las Vegas-Henderson-Paradise, NV",2018
"Lawrence, KS",2018
"Lawton, OK",2018
"Lebanon, PA",2018
"Lima, OH",2018
"Lincoln, NE",2018
