,MSA,year,income_pc
186,"Ann Arbor, MI",2019,61101
187,"Anniston-Oxford, AL",2019,37708
188,"Athens-Clarke County, GA",2019,42391
189,"Atlanta-Sandy Springs-Alpharetta, GA",2019,55668
190,"Atlantic City-Hammonton, NJ",2019,51247
191,"Augusta-Richmond County, GA-SC",2019,43512
192,"Austin-Round Rock-Georgetown, TX",2019,62460
193,"Baltimore-Columbia-Towson, MD",2019,62702
194,"Beaumont-Port Arthur, TX",2019,45115
195,"Birmingham-Hoover, AL",2019,53185
196,"Boston-Cambridge-Newton, MA-NH",2019,80965
197,"Brownsville-Harlingen, TX",2019,30187
198,"Buffalo-Cheektowaga, NY",2019,51296
199,"Burlington-South Burlington, VT",2019,58650
200,"California-Lexington Park, MD",2019,57891
201,"Boston-Cambridge-Newton, MA-NH",2019,80965
202,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2019,65733
203,"Canton-Massillon, OH",2019,46019
204,"Cape Coral-Fort Myers, FL",2019,52832
205,"Cedar Rapids, IA",2019,52898
206,"Champaign-Urbana, IL",2019,46203
207,"Charleston, WV",2019,45527
208,"Charlotte-Concord-Gastonia, NC-SC",2019,54086
209,"Cheyenne, WY",2019,53532
210,"Chicago-Naperville-Arlington Heights, IL",2019,
211,"Chico, CA",2019,45175
212,"Cleveland-Elyria, OH",2019,55294
213,"College Station-Bryan, TX",2019,41965
214,"Colorado Springs, CO",2019,50862
215,"Columbus, GA-AL",2019,41806
216,"Columbus, OH",2019,52522
217,"Crestview-Fort Walton Beach-Destin, FL",2019,55156
218,"Cumberland, MD-WV",2019,41166
219,"Dallas-Fort Worth-Arlington, TX",2019,59409
220,"Dayton, OH",2019,
221,"Decatur, AL",2019,40499
222,"Deltona-Daytona Beach-Ormond Beach, FL",2019,45174
223,"Denver-Aurora-Lakewood, CO",2019,67089
224,"Detroit-Warren-Dearborn, MI",2019,54213
225,"Durham-Chapel Hill, NC",2019,54408
226,"Enid, OK",2019,45053
227,"Fayetteville-Springdale-Rogers, AR",2019,68808
228,"Flint, MI",2019,41940
229,"Florence-Muscle Shoals, AL",2019,38405
230,"Fort Collins, CO",2019,55935
231,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",2019,
232,"Dallas-Fort Worth-Arlington, TX",2019,59409
233,"Grand Rapids-Kentwood, MI",2019,50474
234,"Greensboro-High Point, NC",2019,44456
235,"Gulfport-Biloxi, MS",2019,37983
236,"Hickory-Lenoir-Morganton, NC",2019,40607
237,"Homosassa Springs, FL",2019,39701
238,"Houston-The Woodlands-Sugar Land, TX",2019,58884
239,"Jackson, MI",2019,40413
240,"Jackson, MS",2019,44794
241,"Jacksonville, FL",2019,52184
242,"Janesville-Beloit, WI",2019,46018
243,"Jefferson City, MO",2019,44548
244,"Johnson City, TN",2019,41519
245,"Kalamazoo-Portage, MI",2019,49305
246,"Kansas City, MO-KS",2019,55691
247,"Killeen-Temple, TX",2019,43033
248,"Kingsport-Bristol, TN-VA",2019,40540
249,"Knoxville, TN",2019,48179
250,"La Crosse-Onalaska, WI-MN",2019,52084
251,"Chicago-Naperville-Elgin, IL-IN-WI",2019,64079
252,"Lakeland-Winter Haven, FL",2019,37183
253,"Lancaster, PA",2019,54529
254,"Lansing-East Lansing, MI",2019,42535
255,"Las Vegas-Henderson-Paradise, NV",2019,49225
256,"Lima, OH",2019,43268
257,"Longview, TX",2019,43575
258,"Los Angeles-Long Beach-Glendale, CA",2019,
259,"Madison, WI",2019,61743
260,"Memphis, TN-MS-AR",2019,47904
261,"Merced, CA",2019,37952
262,"Miami-Miami Beach-Kendall, FL",2019,
263,"Milwaukee-Waukesha, WI",2019,57860
264,"Minneapolis-St. Paul-Bloomington, MN-WI",2019,64270
265,"Modesto, CA",2019,43402
266,"Monroe, MI",2019,48696
267,"Montgomery, AL",2019,44473
268,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2019,65733
269,"Muskegon, MI",2019,39769
270,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",2019,41213
271,"Naples-Marco Island, FL",2019,103205
272,"Nashville-Davidson--Murfreesboro--Franklin, TN",2019,61516
273,"New York-Newark-Jersey City, NY-NJ-PA",2019,77911
274,"New York-Newark-Jersey City, NY-NJ-PA",2019,77911
275,"New York-Newark-Jersey City, NY-NJ-PA",2019,77911
276,"North Port-Sarasota-Bradenton, FL",2019,59917
277,"Oakland-Hayward-Berkeley, CA",2019,
278,"Ogden-Clearfield, UT",2019,46201
279,"Oklahoma City, OK",2019,51408
280,"Olympia-Lacey-Tumwater, WA",2019,52010
281,"Omaha-Council Bluffs, NE-IA",2019,58368
282,"Orlando-Kissimmee-Sanford, FL",2019,45718
283,"Oshkosh-Neenah, WI",2019,48943
284,"Oxnard-Thousand Oaks-Ventura, CA",2019,63190
285,"Palm Bay-Melbourne-Titusville, FL",2019,48539
286,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2019,65733
287,"Phoenix-Mesa-Chandler, AZ",2019,48082
288,"Pittsburgh, PA",2019,59494
289,"Portland-Vancouver-Hillsboro, OR-WA",2019,58941
290,"Prescott, AZ",2019,
291,"Providence-Warwick, RI-MA",2019,56197
292,"Punta Gorda, FL",2019,43549
293,"Raleigh-Cary, NC",2019,58147
294,"Reading, PA",2019,51606
295,"Redding, CA",2019,46417
296,"Reno, NV",2019,62954
297,"Richmond, VA",2019,58111
298,"Riverside-San Bernardino-Ontario, CA",2019,40988
299,"Roanoke, VA",2019,46891
300,"Rochester, NY",2019,52480
301,"Rockford, IL",2019,44621
302,"Sacramento-Roseville-Folsom, CA",2019,57014
303,"St. Cloud, MN",2019,47119
304,"St. Louis, MO-IL",2019,57615
305,"San Angelo, TX",2019,51990
306,"San Antonio-New Braunfels, TX",2019,48025
307,"San Diego-Chula Vista-Carlsbad, CA",2019,60845
308,"San Francisco-Redwood City-South San Francisco, CA",2019,
309,"San Jose-Sunnyvale-Santa Clara, CA",2019,112693
310,"San Rafael, CA",2019,
311,"Santa Maria-Santa Barbara, CA",2019,62715
312,"Savannah, GA",2019,47964
313,"Seattle-Bellevue-Everett, WA",2019,
314,"Sherman-Denison, TX",2019,44585
315,"Sierra Vista-Douglas, AZ",2019,40546
316,"Silver Spring-Frederick-Rockville, MD",2019,
317,"Sioux Falls, SD",2019,64219
318,"Spokane-Spokane Valley, WA",2019,46337
319,"Springfield, OH",2019,41625
320,"Staunton, VA",2019,44917
321,"Syracuse, NY",2019,51181
322,"Tacoma-Lakewood, WA",2019,
