MSA,num_races,household_size,frac_married,frac_school,frac_college,frac_educated,annual_births,frac_veteran,frac_disability,non_citizen,employment_rate,frac_priv_insurance,frac_mcare_insurance,frac_no_insurance,poverty_rate
"Phoenix-Mesa-Chandler, AZ",4,2.61,0.49,0.73,0.23,0.89,"1,171,188",0.07,0.12,0.54,0.64,0.66,0.35,0.11,0.08
"Pittsburgh, PA",3,2.23,0.49,0.71,0.23,0.95,"506,691",0.06,0.14,0.46,0.63,0.75,0.38,0.04,0.08
"Portland-South Portland, ME",3,2.3,0.52,0.71,0.22,0.96,"123,260",0.08,0.13,0.43,0.65,0.78,0.33,0.04,0.05
"Portland-Vancouver-Hillsboro, OR-WA",4,2.47,0.49,0.73,0.22,0.93,"617,728",0.07,0.13,0.43,0.66,0.72,0.35,0.06,0.06
"Port St. Lucie, FL",4,2.47,0.49,0.75,0.2,0.91,"92,503",0.1,0.14,0.34,0.55,0.61,0.44,0.12,0.07
"Poughkeepsie-Newburgh-Middletown, NY",4,2.63,0.51,0.7,0.26,0.91,"157,709",0.06,0.11,0.36,0.64,0.74,0.37,0.04,0.07
"Providence-Warwick, RI-MA",4,2.4,0.45,0.66,0.3,0.88,"388,957",0.05,0.14,0.41,0.65,0.69,0.41,0.04,0.08
"Provo-Orem, UT",4,3.45,0.59,0.63,0.32,0.95,"189,110",0.03,0.09,0.6,0.71,0.82,0.17,0.08,0.05
"Raleigh-Cary, NC",4,2.6,0.52,0.71,0.24,0.93,"369,122",0.06,0.11,0.55,0.68,0.77,0.25,0.09,0.07
"Richmond, VA",4,2.47,0.47,0.73,0.22,0.91,"315,279",0.08,0.13,0.49,0.65,0.73,0.35,0.06,0.07
"Riverside-San Bernardino-Ontario, CA",4,3.17,0.47,0.74,0.23,0.83,"1,128,235",0.05,0.12,0.46,0.61,0.58,0.42,0.09,0.1
"Rochester, NY",3,2.3,0.45,0.67,0.28,0.91,"244,974",0.06,0.14,0.37,0.63,0.71,0.4,0.04,0.08
