MSA,year,income_pc
"San Antonio-New Braunfels, TX",2018,48192
"San Diego-Chula Vista-Carlsbad, CA",2018,58719
"San Francisco-Oakland-Berkeley, CA",2018,97681
"San Jose-Sunnyvale-Santa Clara, CA",2018,106568
"San Luis Obispo-Paso Robles, CA",2018,55913
"Santa Cruz-Watsonville, CA",2018,65751
"Santa Fe, NM",2018,58525
"Santa Maria-Santa Barbara, CA",2018,60818
"Santa Rosa-Petaluma, CA",2018,61501
"Savannah, GA",2018,46990
"Scranton--Wilkes-Barre, PA",2018,45522
"Seattle-Tacoma-Bellevue, WA",2018,72685
"Sebastian-Vero Beach, FL",2018,79972
"Sebring-Avon Park, FL",2018,33047
"Sheboygan, WI",2018,52880
"Sherman-Denison, TX",2018,43052
"Shreveport-Bossier City, LA",2018,46853
"Sierra Vista-Douglas, AZ",2018,38892
"Sioux City, IA-NE-SD",2018,50677
"Sioux Falls, SD",2018,60254
"South Bend-Mishawaka, IN-MI",2018,47206
"Spartanburg, SC",2018,42669
"Spokane-Spokane Valley, WA",2018,44631
"Springfield, IL",2018,47642
"Springfield, MA",2018,51697
"Springfield, MO",2018,41339
"Springfield, OH",2018,40263
"State College, PA",2018,46210
"Staunton, VA",2018,43388
"Stockton, CA",2018,43077
"Sumter, SC",2018,37440
"Syracuse, NY",2018,49369
"Tallahassee, FL",2018,42507
"Tampa-St. Petersburg-Clearwater, FL",2018,47362
"Terre Haute, IN",2018,37284
"Texarkana, TX-AR",2018,37667
"The Villages, FL",2018,48902
"Toledo, OH",2018,46790
"Topeka, KS",2018,46180
"Trenton-Princeton, NJ",2018,68052
"Tucson, AZ",2018,43103
"Tulsa, OK",2018,55350
"Tuscaloosa, AL",2018,38107
"Twin Falls, ID",2018,38784
"Tyler, TX",2018,56084
"Urban Honolulu, HI",2018,57468
"Utica-Rome, NY",2018,43255
"Valdosta, GA",2018,35953
"Vallejo, CA",2018,49336
"Victoria, TX",2018,47647
"Vineland-Bridgeton, NJ",2018,39448
"Virginia Beach-Norfolk-Newport News, VA-NC",2018,48322
"Visalia, CA",2018,38613
"Waco, TX",2018,41319
"Walla Walla, WA",2018,44521
"Warner Robins, GA",2018,41902
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2018,71615
"Waterloo-Cedar Falls, IA",2018,46002
"Watertown-Fort Drum, NY",2018,46375
"Wausau-Weston, WI",2018,49489
"Weirton-Steubenville, WV-OH",2018,40431
"Wenatchee, WA",2018,48047
"Wheeling, WV-OH",2018,48907
"Wichita, KS",2018,50308
"Wichita Falls, TX",2018,43262
"Williamsport, PA",2018,43070
"Wilmington, NC",2018,44226
"Winchester, VA-WV",2018,47879
"Winston-Salem, NC",2018,43881
"Worcester, MA-CT",2018,54581
"Yakima, WA",2018,41740
"York-Hanover, PA",2018,50069
"Youngstown-Warren-Boardman, OH-PA",2018,42094
"Yuba City, CA",2018,41937
"Yuma, AZ",2018,33672
"Abilene, TX",2019,46493
"Akron, OH",2019,51714
"Albany, GA",2019,38764
"Albany-Lebanon, OR",2019,43971
"Albany-Schenectady-Troy, NY",2019,60500
"Albuquerque, NM",2019,43975
"Alexandria, LA",2019,44475
"Allentown-Bethlehem-Easton, PA-NJ",2019,55363
"Altoona, PA",2019,47573
"Amarillo, TX",2019,49008
"Ames, IA",2019,45160
"Anchorage, AK",2019,63208
"Ann Arbor, MI",2019,61101
"Anniston-Oxford, AL",2019,37708
"Appleton, WI",2019,52743
"Asheville, NC",2019,47559
"Athens-Clarke County, GA",2019,42391
"Atlanta-Sandy Springs-Alpharetta, GA",2019,55668
"Atlantic City-Hammonton, NJ",2019,51247
"Auburn-Opelika, AL",2019,40439
"Augusta-Richmond County, GA-SC",2019,43512
"Austin-Round Rock-Georgetown, TX",2019,62460
"Bakersfield, CA",2019,39559
"Baltimore-Columbia-Towson, MD",2019,62702
"Bangor, ME",2019,43083
"Barnstable Town, MA",2019,75339
"Baton Rouge, LA",2019,49994
"Battle Creek, MI",2019,40428
"Bay City, MI",2019,43554
"Beaumont-Port Arthur, TX",2019,45115
"Beckley, WV",2019,41026
"Bellingham, WA",2019,49868
"Bend, OR",2019,57493
"Billings, MT",2019,54197
"Binghamton, NY",2019,45505
"Birmingham-Hoover, AL",2019,53185
"Bismarck, ND",2019,59371
"Blacksburg-Christiansburg, VA",2019,38220
"Bloomington, IL",2019,49760
"Bloomington, IN",2019,43712
"Bloomsburg-Berwick, PA",2019,46776
"Boise City, ID",2019,47674
"Boston-Cambridge-Newton, MA-NH",2019,80965
"Boulder, CO",2019,77305
"Bowling Green, KY",2019,37074
"Bremerton-Silverdale-Port Orchard, WA",2019,57197
"Bridgeport-Stamford-Norwalk, CT",2019,118515
"Brownsville-Harlingen, TX",2019,30187
"Brunswick, GA",2019,42593
"Buffalo-Cheektowaga, NY",2019,51296
"Burlington, NC",2019,41256
"Burlington-South Burlington, VT",2019,58650
"California-Lexington Park, MD",2019,57891
"Canton-Massillon, OH",2019,46019
"Cape Coral-Fort Myers, FL",2019,52832
"Cape Girardeau, MO-IL",2019,43506
"Carbondale-Marion, IL",2019,41233
"Carson City, NV",2019,52880
"Casper, WY",2019,70054
"Cedar Rapids, IA",2019,52898
"Chambersburg-Waynesboro, PA",2019,48014
"Champaign-Urbana, IL",2019,46203
"Charleston, WV",2019,45527
"Charleston-North Charleston, SC",2019,53279
"Charlotte-Concord-Gastonia, NC-SC",2019,54086
"Charlottesville, VA",2019,67809
"Chattanooga, TN-GA",2019,47104
"Cheyenne, WY",2019,53532
"Chicago-Naperville-Elgin, IL-IN-WI",2019,64079
"Chico, CA",2019,45175
"Cincinnati, OH-KY-IN",2019,56402
"Clarksville, TN-KY",2019,42209
"Cleveland, TN",2019,39505
