,MSA,num_races,household_size,frac_married,frac_school,frac_college,frac_educated,annual_births,frac_veteran,frac_disability,non_citizen,employment_rate,frac_priv_insurance,frac_mcare_insurance,frac_no_insurance,poverty_rate
95,"Macon-Bibb County, GA",,,,,,,,,,,,,,,
96,"Madison, WI",3.0,2.28,0.48,0.62,0.33,0.96,"171,447",0.05,0.09,0.58,0.69,0.82,0.27,0.04,0.05
97,"Mankato, MN",,,,,,,,,,,,,,,
98,"Memphis, TN-MS-AR",4.0,2.53,0.42,0.77,0.17,0.9,"327,202",0.07,0.13,0.64,0.64,0.64,0.37,0.11,0.13
99,"Miami-Miami Beach-Kendall, FL",,,,,,,,,,,,,,,
100,"Milwaukee-Waukesha, WI",3.0,2.37,0.47,0.76,0.2,0.93,"364,582",0.05,0.12,0.49,0.66,0.7,0.36,0.06,0.09
101,"Minneapolis-St. Paul-Bloomington, MN-WI",4.0,2.5,0.5,0.72,0.21,0.95,"865,454",0.06,0.11,0.39,0.71,0.78,0.31,0.04,0.05
102,"Mobile, AL",,,,,,,,,,,,,,,
103,"Monroe, MI",,,,,,,,,,,,,,,
104,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4.0,2.48,0.46,0.69,0.25,0.92,"1,465,221",0.05,0.13,0.44,0.65,0.73,0.36,0.05,0.09
105,"Mount Vernon-Anacortes, WA",,,,,,,,,,,,,,,
106,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",3.0,2.39,0.52,0.74,0.21,0.93,"96,690",0.11,0.18,0.44,0.52,0.6,0.48,0.12,0.08
107,"Napa, CA",,,,,,,,,,,,,,,
108,"Naples-Marco Island, FL",,,,,,,,,,,,,,,
109,"Nashville-Davidson--Murfreesboro--Franklin, TN",3.0,2.49,0.51,0.72,0.22,0.92,"506,130",0.06,0.11,0.58,0.68,0.74,0.29,0.09,0.07
110,"New York-Newark-Jersey City, NY-NJ-PA",4.0,2.64,0.46,0.68,0.25,0.88,"4,668,590",0.03,0.11,0.41,0.65,0.66,0.39,0.07,0.1
111,"New York-Newark-Jersey City, NY-NJ-PA",4.0,2.64,0.46,0.68,0.25,0.88,"4,668,590",0.03,0.11,0.41,0.65,0.66,0.39,0.07,0.1
112,"New York-Newark-Jersey City, NY-NJ-PA",4.0,2.64,0.46,0.68,0.25,0.88,"4,668,590",0.03,0.11,0.41,0.65,0.66,0.39,0.07,0.1
113,"North Port-Sarasota-Bradenton, FL",4.0,2.31,0.54,0.75,0.19,0.94,"146,800",0.09,0.15,0.34,0.53,0.67,0.43,0.11,0.06
114,"Oakland-Hayward-Berkeley, CA",,,,,,,,,,,,,,,
115,"Ocala, FL",,,,,,,,,,,,,,,
116,"Ogden-Clearfield, UT",4.0,3.05,0.56,0.74,0.2,0.94,"175,372",0.07,0.11,0.49,0.69,0.78,0.23,0.08,0.06
