,MSA,num_races,household_size,frac_married,frac_school,frac_college,frac_educated,annual_births,frac_veteran,frac_disability,non_citizen,employment_rate,frac_priv_insurance,frac_mcare_insurance,frac_no_insurance,poverty_rate
25597,"Olympia-Lacey-Tumwater, WA",,,,,,,,,,,,,,,
25598,"Omaha-Council Bluffs, NE-IA",3.0,2.48,0.51,0.73,0.2,0.93,"230,593",0.09,0.12,0.56,0.7,0.74,0.3,0.07,0.07
25599,"Orlando-Kissimmee-Sanford, FL",4.0,2.67,0.47,0.7,0.25,0.91,"670,108",0.07,0.12,0.47,0.64,0.66,0.32,0.12,0.1
25600,"Oxnard-Thousand Oaks-Ventura, CA",4.0,2.96,0.49,0.7,0.26,0.85,"192,533",0.06,0.12,0.47,0.65,0.66,0.37,0.09,0.06
25601,"Palm Bay-Melbourne-Titusville, FL",4.0,2.4,0.49,0.72,0.25,0.94,"120,289",0.14,0.17,0.34,0.56,0.68,0.39,0.11,0.07
25602,"Panama City, FL",,,,,,,,,,,,,,,
25603,"Parkersburg-Vienna, WV",,,,,,,,,,,,,,,
25604,"Pensacola-Ferry Pass-Brent, FL",4.0,2.47,0.47,0.72,0.23,0.92,"112,676",0.16,0.17,0.38,0.61,0.66,0.39,0.13,0.11
25605,"Peoria, IL",,,,,,,,,,,,,,,
25606,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4.0,2.48,0.46,0.69,0.25,0.92,"1,465,221",0.05,0.13,0.44,0.65,0.73,0.36,0.05,0.09
25607,"Phoenix-Mesa-Chandler, AZ",4.0,2.61,0.49,0.73,0.23,0.89,"1,171,188",0.07,0.12,0.54,0.64,0.66,0.35,0.11,0.08
25608,"Pine Bluff, AR",,,,,,,,,,,,,,,
25609,"Pittsburgh, PA",3.0,2.23,0.49,0.71,0.23,0.95,"506,691",0.06,0.14,0.46,0.63,0.75,0.38,0.04,0.08
25610,"Pittsfield, MA",,,,,,,,,,,,,,,
25611,"Portland-Vancouver-Hillsboro, OR-WA",4.0,2.47,0.49,0.73,0.22,0.93,"617,728",0.07,0.13,0.43,0.66,0.72,0.35,0.06,0.06
25612,"Port St. Lucie, FL",4.0,2.47,0.49,0.75,0.2,0.91,"92,503",0.1,0.14,0.34,0.55,0.61,0.44,0.12,0.07
25613,"Prescott, AZ",,,,,,,,,,,,,,,
25614,"Providence-Warwick, RI-MA",4.0,2.4,0.45,0.66,0.3,0.88,"388,957",0.05,0.14,0.41,0.65,0.69,0.41,0.04,0.08
25615,"Provo-Orem, UT",4.0,3.45,0.59,0.63,0.32,0.95,"189,110",0.03,0.09,0.6,0.71,0.82,0.17,0.08,0.05
25616,"Pueblo, CO",,,,,,,,,,,,,,,
25617,"Punta Gorda, FL",,,,,,,,,,,,,,,
25618,"Racine, WI",,,,,,,,,,,,,,,
25619,"Raleigh-Cary, NC",4.0,2.6,0.52,0.71,0.24,0.93,"369,122",0.06,0.11,0.55,0.68,0.77,0.25,0.09,0.07
25620,"Rapid City, SD",,,,,,,,,,,,,,,
25621,"Reading, PA",,,,,,,,,,,,,,,
25622,"Reno, NV",,,,,,,,,,,,,,,
25623,"Richmond, VA",4.0,2.47,0.47,0.73,0.22,0.91,"315,279",0.08,0.13,0.49,0.65,0.73,0.35,0.06,0.07
25624,"Riverside-San Bernardino-Ontario, CA",4.0,3.17,0.47,0.74,0.23,0.83,"1,128,235",0.05,0.12,0.46,0.61,0.58,0.42,0.09,0.1
25625,"Roanoke, VA",,,,,,,,,,,,,,,
25626,"Rochester, MN",,,,,,,,,,,,,,,
25627,"Rochester, NY",3.0,2.3,0.45,0.67,0.28,0.91,"244,974",0.06,0.14,0.37,0.63,0.71,0.4,0.04,0.08
25628,"Rockford, IL",,,,,,,,,,,,,,,
25629,"Rocky Mount, NC",,,,,,,,,,,,,,,
25630,"Rome, GA",,,,,,,,,,,,,,,
25631,"Sacramento-Roseville-Folsom, CA",4.0,2.7,0.49,0.68,0.27,0.9,"576,823",0.06,0.12,0.38,0.62,0.71,0.39,0.04,0.08
25632,"Saginaw, MI",,,,,,,,,,,,,,,
25633,"St. Cloud, MN",,,,,,,,,,,,,,,
25634,"St. George, UT",,,,,,,,,,,,,,,
25635,"St. Joseph, MO-KS",,,,,,,,,,,,,,,
25636,"St. Louis, MO-IL",3.0,2.41,0.48,0.71,0.22,0.93,"642,539",0.07,0.14,0.42,0.65,0.74,0.32,0.06,0.07
25637,"Salem, OR",,,,,,,,,,,,,,,
25638,"Salinas, CA",,,,,,,,,,,,,,,
25639,"Salisbury, MD-DE",,,,,,,,,,,,,,,
25640,"Salt Lake City, UT",4.0,2.81,0.51,0.72,0.23,0.92,"325,478",0.04,0.1,0.56,0.71,0.77,0.21,0.1,0.06
25641,"San Angelo, TX",,,,,,,,,,,,,,,
25642,"San Antonio-New Braunfels, TX",4.0,2.7,0.48,0.73,0.21,0.87,"643,444",0.11,0.15,0.57,0.65,0.63,0.33,0.16,0.1
25643,"San Diego-Chula Vista-Carlsbad, CA",4.0,2.75,0.47,0.64,0.32,0.88,"797,411",0.07,0.11,0.4,0.66,0.7,0.35,0.07,0.07
25644,"San Francisco-Redwood City-South San Francisco, CA",,,,,,,,,,,,,,,
25645,"San Jose-Sunnyvale-Santa Clara, CA",4.0,2.86,0.52,0.64,0.31,0.89,"469,632",0.03,0.09,0.46,0.67,0.77,0.28,0.04,0.05
25646,"San Juan-BayamÃ³n-Caguas, PR",,,,,,,,,,,,,,,
25647,"San Luis Obispo-Paso Robles, CA",,,,,,,,,,,,,,,
25648,"San Rafael, CA",,,,,,,,,,,,,,,
25649,"Santa Cruz-Watsonville, CA",,,,,,,,,,,,,,,
25650,"Santa Maria-Santa Barbara, CA",,,,,,,,,,,,,,,
25651,"Santa Rosa-Petaluma, CA",4.0,2.51,0.49,0.69,0.26,0.89,"105,272",0.05,0.12,0.51,0.64,0.71,0.39,0.06,0.05
25652,"Savannah, GA",,,,,,,,,,,,,,,
25653,"Scranton--Wilkes-Barre, PA",4.0,2.35,0.46,0.73,0.23,0.91,"121,783",0.07,0.16,0.56,0.6,0.69,0.43,0.06,0.09
25654,"Seattle-Bellevue-Everett, WA",,,,,,,,,,,,,,,
25655,"Sebastian-Vero Beach, FL",,,,,,,,,,,,,,,
25656,"Sebring-Avon Park, FL",,,,,,,,,,,,,,,
25657,"Sheboygan, WI",,,,,,,,,,,,,,,
25658,"Sherman-Denison, TX",,,,,,,,,,,,,,,
25659,"Sierra Vista-Douglas, AZ",,,,,,,,,,,,,,,
25660,"Silver Spring-Frederick-Rockville, MD",,,,,,,,,,,,,,,
25661,"Sioux City, IA-NE-SD",,,,,,,,,,,,,,,
25662,"Sioux Falls, SD",,,,,,,,,,,,,,,
25663,"Spokane-Spokane Valley, WA",4.0,2.43,0.48,0.72,0.22,0.94,"137,062",0.1,0.16,0.39,0.61,0.64,0.45,0.05,0.08
25664,"Springfield, IL",,,,,,,,,,,,,,,
25665,"Springfield, MA",4.0,2.38,0.41,0.63,0.33,0.9,"170,335",0.06,0.16,0.38,0.59,0.68,0.45,0.03,0.1
25666,"Springfield, MO",,,,,,,,,,,,,,,
25667,"Springfield, OH",,,,,,,,,,,,,,,
25668,"Staunton, VA",,,,,,,,,,,,,,,
25669,"Stockton, CA",4.0,3.2,0.47,0.76,0.19,0.79,"187,895",0.04,0.12,0.45,0.6,0.59,0.45,0.06,0.09
25670,"Syracuse, NY",4.0,2.32,0.45,0.63,0.33,0.92,"151,301",0.07,0.14,0.42,0.61,0.69,0.43,0.03,0.1
25671,"Tacoma-Lakewood, WA",,,,,,,,,,,,,,,
25672,"Tallahassee, FL",,,,,,,,,,,,,,,
25673,"Tampa-St. Petersburg-Clearwater, FL",4.0,2.42,0.47,0.71,0.24,0.91,"720,482",0.09,0.14,0.4,0.61,0.64,0.37,0.11,0.09
25674,"Texarkana, TX-AR",,,,,,,,,,,,,,,
25675,"The Villages, FL",,,,,,,,,,,,,,,
25676,"Toledo, OH",3.0,2.3,0.45,0.68,0.25,0.92,"149,306",0.06,0.15,0.38,0.64,0.71,0.39,0.05,0.1
25677,"Topeka, KS",,,,,,,,,,,,,,,
25678,"Trenton-Princeton, NJ",,,,,,,,,,,,,,,
25679,"Tucson, AZ",4.0,2.37,0.46,0.68,0.28,0.9,"239,465",0.1,0.15,0.42,0.59,0.63,0.43,0.09,0.1
25680,"Tulsa, OK",3.0,2.51,0.49,0.76,0.17,0.9,"236,269",0.07,0.16,0.59,0.63,0.64,0.36,0.14,0.1
25681,"Tuscaloosa, AL",,,,,,,,,,,,,,,
25682,"Tyler, TX",,,,,,,,,,,,,,,
25683,"Utica-Rome, NY",,,,,,,,,,,,,,,
25684,"Valdosta, GA",,,,,,,,,,,,,,,
25685,"Vallejo, CA",,,,,,,,,,,,,,,
25686,"Victoria, TX",,,,,,,,,,,,,,,
25687,"Vineland-Bridgeton, NJ",,,,,,,,,,,,,,,
25688,"Virginia Beach-Norfolk-Newport News, VA-NC",4.0,2.41,0.48,0.7,0.26,0.93,"434,583",0.15,0.14,0.38,0.67,0.74,0.36,0.06,0.08
25689,"Visalia, CA",,,,,,,,,,,,,,,
25690,"Waco, TX",,,,,,,,,,,,,,,
25691,"Warner Robins, GA",,,,,,,,,,,,,,,
25692,"Detroit-Warren-Dearborn, MI",4.0,2.46,0.46,0.74,0.21,0.91,"992,227",0.05,0.13,0.38,0.62,0.7,0.41,0.05,0.1
25693,"Washington-Arlington-Alexandria, DC-VA-MD-WV",4.0,2.62,0.49,0.68,0.26,0.92,"1,575,871",0.07,0.09,0.44,0.7,0.77,0.28,0.07,0.06
25694,"Waterloo-Cedar Falls, IA",,,,,,,,,,,,,,,
25695,"Watertown-Fort Drum, NY",,,,,,,,,,,,,,,
25696,"Weirton-Steubenville, WV-OH",,,,,,,,,,,,,,,
25697,"West Palm Beach-Boca Raton-Delray Beach, FL",,,,,,,,,,,,,,,
25698,"Wheeling, WV-OH",,,,,,,,,,,,,,,
25699,"Wichita, KS",4.0,2.55,0.49,0.74,0.2,0.9,"147,653",0.07,0.14,0.51,0.65,0.69,0.33,0.1,0.08
25700,"Wichita Falls, TX",,,,,,,,,,,,,,,
25701,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4.0,2.48,0.46,0.69,0.25,0.92,"1,465,221",0.05,0.13,0.44,0.65,0.73,0.36,0.05,0.09
25702,"Wilmington, NC",,,,,,,,,,,,,,,
25703,"Winchester, VA-WV",,,,,,,,,,,,,,,
25704,"Winston-Salem, NC",4.0,2.44,0.49,0.72,0.23,0.89,"154,324",0.07,0.15,0.59,0.59,0.63,0.39,0.1,0.09
25705,"Yakima, WA",,,,,,,,,,,,,,,
25706,"York-Hanover, PA",,,,,,,,,,,,,,,
25707,"Youngstown-Warren-Boardman, OH-PA",3.0,2.26,0.47,0.74,0.2,0.92,"110,694",0.08,0.17,0.31,0.56,0.6,0.49,0.06,0.12
25708,"Yuba City, CA",,,,,,,,,,,,,,,
25709,"Yuma, AZ",,,,,,,,,,,,,,,
25710,"Abilene, TX",,,,,,,,,,,,,,,
25711,"Akron, OH",3.0,2.34,0.46,0.72,0.24,0.92,"160,665",0.06,0.14,0.4,0.63,0.68,0.4,0.06,0.09
25712,"Albany, GA",,,,,,,,,,,,,,,
25713,"Albany-Lebanon, OR",,,,,,,,,,,,,,,
25714,"Albany-Schenectady-Troy, NY",3.0,2.29,0.47,0.66,0.3,0.93,"208,912",0.06,0.13,0.38,0.63,0.74,0.38,0.03,0.07
25715,"Allentown-Bethlehem-Easton, PA-NJ",4.0,2.5,0.49,0.71,0.24,0.91,"191,596",0.06,0.13,0.42,0.64,0.72,0.37,0.06,0.08
25716,"Altoona, PA",,,,,,,,,,,,,,,
25717,"Amarillo, TX",,,,,,,,,,,,,,,
25718,"Anaheim-Santa Ana-Irvine, CA",,,,,,,,,,,,,,,
25719,"Anchorage, AK",,,,,,,,,,,,,,,
25720,"Ann Arbor, MI",,,,,,,,,,,,,,,
25721,"Anniston-Oxford, AL",,,,,,,,,,,,,,,
25722,"Appleton, WI",,,,,,,,,,,,,,,
25723,"Asheville, NC",,,,,,,,,,,,,,,
25724,"Athens-Clarke County, GA",,,,,,,,,,,,,,,
25725,"Atlanta-Sandy Springs-Alpharetta, GA",4.0,2.66,0.48,0.72,0.22,0.91,"1,573,561",0.07,0.11,0.48,0.67,0.7,0.28,0.12,0.09
25726,"Atlantic City-Hammonton, NJ",,,,,,,,,,,,,,,
25727,"Auburn-Opelika, AL",,,,,,,,,,,,,,,
25728,"Augusta-Richmond County, GA-SC",4.0,2.69,0.44,0.72,0.22,0.89,"144,792",0.11,0.16,0.44,0.61,0.65,0.38,0.11,0.13
25729,"Austin-Round Rock-Georgetown, TX",4.0,2.42,0.5,0.68,0.27,0.92,"624,985",0.06,0.1,0.58,0.71,0.74,0.23,0.13,0.07
25730,"Bakersfield, CA",4.0,3.14,0.44,0.78,0.18,0.77,"217,085",0.05,0.11,0.57,0.58,0.51,0.49,0.08,0.15
25731,"Baltimore-Columbia-Towson, MD",4.0,2.48,0.47,0.68,0.28,0.92,"672,232",0.07,0.12,0.39,0.67,0.74,0.36,0.05,0.08
25732,"Barnstable Town, MA",,,,,,,,,,,,,,,
25733,"Battle Creek, MI",,,,,,,,,,,,,,,
25734,"Bay City, MI",,,,,,,,,,,,,,,
25735,"Beaumont-Port Arthur, TX",,,,,,,,,,,,,,,
25736,"Bend, OR",,,,,,,,,,,,,,,
25737,"Binghamton, NY",,,,,,,,,,,,,,,
25738,"Birmingham-Hoover, AL",3.0,2.5,0.47,0.75,0.17,0.9,"264,679",0.06,0.15,0.58,0.61,0.69,0.35,0.08,0.1
25739,"Bismarck, ND",,,,,,,,,,,,,,,
25740,"Blacksburg-Christiansburg, VA",,,,,,,,,,,,,,,
25741,"Bloomington, IL",,,,,,,,,,,,,,,
25742,"Bloomsburg-Berwick, PA",,,,,,,,,,,,,,,
25743,"Boston-Cambridge-Newton, MA-NH",4.0,2.47,0.47,0.63,0.31,0.92,"1,196,562",0.04,0.1,0.46,0.69,0.76,0.34,0.03,0.06
25744,"Boulder, CO",,,,,,,,,,,,,,,
25745,"Bremerton-Silverdale-Port Orchard, WA",,,,,,,,,,,,,,,
25746,"Brownsville-Harlingen, TX",,,,,,,,,,,,,,,
25747,"Brunswick, GA",,,,,,,,,,,,,,,
25748,"Buffalo-Cheektowaga, NY",4.0,2.25,0.44,0.68,0.27,0.93,"260,535",0.06,0.14,0.36,0.63,0.7,0.44,0.03,0.1
25749,"Burlington, NC",,,,,,,,,,,,,,,
25750,"California-Lexington Park, MD",,,,,,,,,,,,,,,
25751,"Boston-Cambridge-Newton, MA-NH",4.0,2.47,0.47,0.63,0.31,0.92,"1,196,562",0.04,0.1,0.46,0.69,0.76,0.34,0.03,0.06
25752,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4.0,2.48,0.46,0.69,0.25,0.92,"1,465,221",0.05,0.13,0.44,0.65,0.73,0.36,0.05,0.09
25753,"Canton-Massillon, OH",,,,,,,,,,,,,,,
25754,"Cape Coral-Fort Myers, FL",4.0,2.43,0.53,0.75,0.21,0.9,"147,478",0.08,0.14,0.39,0.53,0.61,0.45,0.11,0.09
25755,"Carbondale-Marion, IL",,,,,,,,,,,,,,,
25756,"Carson City, NV",,,,,,,,,,,,,,,
25757,"Casper, WY",,,,,,,,,,,,,,,
25758,"Cedar Rapids, IA",,,,,,,,,,,,,,,
25759,"Chambersburg-Waynesboro, PA",,,,,,,,,,,,,,,
25760,"Champaign-Urbana, IL",,,,,,,,,,,,,,,
25761,"Charleston, WV",,,,,,,,,,,,,,,
25762,"Charlotte-Concord-Gastonia, NC-SC",4.0,2.54,0.49,0.75,0.19,0.9,"673,803",0.06,0.11,0.57,0.67,0.69,0.31,0.1,0.08
25763,"Charlottesville, VA",,,,,,,,,,,,,,,
25764,"Chattanooga, TN-GA",3.0,2.42,0.5,0.73,0.2,0.9,"131,391",0.07,0.15,0.65,0.62,0.68,0.34,0.1,0.08
25765,"Chicago-Naperville-Arlington Heights, IL",,,,,,,,,,,,,,,
25766,"Chico, CA",,,,,,,,,,,,,,,
25767,"Cleveland, TN",,,,,,,,,,,,,,,
25768,"Cleveland-Elyria, OH",4.0,2.28,0.45,0.72,0.22,0.92,"459,168",0.06,0.15,0.38,0.64,0.68,0.4,0.05,0.09
25769,"College Station-Bryan, TX",,,,,,,,,,,,,,,
25770,"Colorado Springs, CO",4.0,2.52,0.53,0.66,0.29,0.95,"183,294",0.15,0.13,0.35,0.67,0.73,0.35,0.07,0.06
25771,"Columbia, MO",,,,,,,,,,,,,,,
25772,"Columbus, GA-AL",,,,,,,,,,,,,,,
25773,"Columbus, OH",4.0,2.45,0.48,0.7,0.24,0.92,"530,168",0.06,0.12,0.48,0.67,0.7,0.33,0.08,0.09
25774,"Corpus Christi, TX",,,,,,,,,,,,,,,
25775,"Crestview-Fort Walton Beach-Destin, FL",,,,,,,,,,,,,,,
25776,"Dallas-Fort Worth-Arlington, TX",4.0,2.71,0.51,0.75,0.2,0.87,"1,974,825",0.06,0.1,0.59,0.69,0.66,0.25,0.17,0.08
25777,"Dalton, GA",,,,,,,,,,,,,,,
25778,"Daphne-Fairhope-Foley, AL",,,,,,,,,,,,,,,
25779,"Davenport-Moline-Rock Island, IA-IL",,,,,,,,,,,,,,,
25780,"Dayton, OH",,,,,,,,,,,,,,,
25781,"Decatur, AL",,,,,,,,,,,,,,,
25782,"Decatur, IL",,,,,,,,,,,,,,,
25783,"Deltona-Daytona Beach-Ormond Beach, FL",3.0,2.31,0.49,0.7,0.24,0.92,"131,589",0.1,0.18,0.39,0.52,0.6,0.43,0.13,0.08
25784,"Denver-Aurora-Lakewood, CO",4.0,2.47,0.49,0.72,0.22,0.92,"752,085",0.06,0.1,0.52,0.72,0.71,0.3,0.08,0.05
25785,"Des Moines-West Des Moines, IA",3.0,2.42,0.52,0.74,0.19,0.93,"173,385",0.06,0.11,0.48,0.71,0.75,0.32,0.04,0.05
25786,"Detroit-Warren-Dearborn, MI",4.0,2.46,0.46,0.74,0.21,0.91,"992,227",0.05,0.13,0.38,0.62,0.7,0.41,0.05,0.1
25787,"Dothan, AL",,,,,,,,,,,,,,,
25788,"Dover, DE",,,,,,,,,,,,,,,
25789,"Dubuque, IA",,,,,,,,,,,,,,,
25790,"Duluth, MN-WI",,,,,,,,,,,,,,,
25791,"Durham-Chapel Hill, NC",4.0,2.36,0.46,0.59,0.37,0.91,"166,768",0.06,0.12,0.57,0.62,0.72,0.31,0.1,0.09
25792,"Dutchess County-Putnam County, NY",,,,,,,,,,,,,,,
25793,"East Stroudsburg, PA",,,,,,,,,,,,,,,
25794,"Eau Claire, WI",,,,,,,,,,,,,,,
25795,"Chicago-Naperville-Elgin, IL-IN-WI",4.0,2.55,0.47,0.71,0.23,0.9,"2,284,402",0.04,0.11,0.46,0.66,0.7,0.33,0.08,0.08
25796,"El Paso, TX",4.0,2.87,0.46,0.69,0.26,0.81,"211,861",0.08,0.14,0.49,0.63,0.52,0.35,0.22,0.17
25797,"Enid, OK",,,,,,,,,,,,,,,
25798,"Erie, PA",,,,,,,,,,,,,,,
25799,"Eugene-Springfield, OR",,,,,,,,,,,,,,,
25800,"Fairbanks, AK",,,,,,,,,,,,,,,
25801,"Fargo, ND-MN",,,,,,,,,,,,,,,
25802,"Fayetteville, NC",4.0,2.55,0.46,0.7,0.26,0.92,"130,490",0.17,0.16,0.47,0.63,0.65,0.4,0.1,0.12
25803,"Fayetteville-Springdale-Rogers, AR",3.0,2.65,0.52,0.73,0.22,0.89,"141,373",0.07,0.1,0.71,0.66,0.64,0.34,0.11,0.07
25804,"Flint, MI",,,,,,,,,,,,,,,
25805,"Florence-Muscle Shoals, AL",,,,,,,,,,,,,,,
25806,"Fond du Lac, WI",,,,,,,,,,,,,,,
25807,"Fort Collins, CO",,,,,,,,,,,,,,,
25808,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",,,,,,,,,,,,,,,
25809,"Fort Smith, AR-OK",,,,,,,,,,,,,,,
25810,"Dallas-Fort Worth-Arlington, TX",4.0,2.71,0.51,0.75,0.2,0.87,"1,974,825",0.06,0.1,0.59,0.69,0.66,0.25,0.17,0.08
25811,"Fresno, CA",4.0,3.09,0.44,0.75,0.21,0.79,"247,146",0.05,0.13,0.51,0.61,0.53,0.5,0.06,0.16
25812,"Gadsden, AL",,,,,,,,,,,,,,,
25813,"Gainesville, FL",,,,,,,,,,,,,,,
25814,"Gainesville, GA",,,,,,,,,,,,,,,
25815,"Gettysburg, PA",,,,,,,,,,,,,,,
25816,"Glens Falls, NY",,,,,,,,,,,,,,,
25817,"Goldsboro, NC",,,,,,,,,,,,,,,
25818,"Grand Forks, ND-MN",,,,,,,,,,,,,,,
25819,"Grand Island, NE",,,,,,,,,,,,,,,
25820,"Grand Rapids-Kentwood, MI",3.0,2.59,0.52,0.74,0.2,0.92,"260,321",0.05,0.11,0.5,0.67,0.75,0.33,0.05,0.06
25821,"Greeley, CO",,,,,,,,,,,,,,,
25822,"Green Bay, WI",,,,,,,,,,,,,,,
25823,"Greensboro-High Point, NC",4.0,2.46,0.46,0.67,0.28,0.89,"188,414",0.06,0.14,0.52,0.62,0.66,0.36,0.1,0.11
25824,"Greenville, NC",,,,,,,,,,,,,,,
25825,"Gulfport-Biloxi, MS",,,,,,,,,,,,,,,
25826,"Hagerstown-Martinsburg, MD-WV",,,,,,,,,,,,,,,
25827,"Hanford-Corcoran, CA",,,,,,,,,,,,,,,
25828,"Harrisburg-Carlisle, PA",4.0,2.36,0.51,0.77,0.19,0.92,"131,739",0.08,0.12,0.45,0.64,0.75,0.36,0.05,0.07
25829,"Harrisonburg, VA",,,,,,,,,,,,,,,
25830,"Hattiesburg, MS",,,,,,,,,,,,,,,
25831,"Hickory-Lenoir-Morganton, NC",,,,,,,,,,,,,,,
25832,"Hinesville, GA",,,,,,,,,,,,,,,
25833,"Homosassa Springs, FL",,,,,,,,,,,,,,,
25834,"Hot Springs, AR",,,,,,,,,,,,,,,
25835,"Houston-The Woodlands-Sugar Land, TX",3.0,2.74,0.51,0.75,0.21,0.84,"1,808,878",0.05,0.1,0.57,0.66,0.6,0.28,0.19,0.11
25836,"Huntsville, AL",4.0,2.38,0.53,0.68,0.26,0.91,"117,812",0.11,0.13,0.43,0.63,0.8,0.27,0.08,0.07
25837,"Iowa City, IA",,,,,,,,,,,,,,,
25838,"Ithaca, NY",,,,,,,,,,,,,,,
25839,"Jackson, MI",,,,,,,,,,,,,,,
25840,"Jackson, MS",3.0,2.48,0.43,0.74,0.21,0.89,"142,828",0.06,0.16,0.57,0.59,0.61,0.37,0.13,0.14
25841,"Jackson, TN",,,,,,,,,,,,,,,
25842,"Jacksonville, FL",3.0,2.49,0.48,0.76,0.19,0.92,"380,009",0.12,0.13,0.39,0.63,0.7,0.34,0.1,0.09
25843,"Jacksonville, NC",,,,,,,,,,,,,,,
25844,"Janesville-Beloit, WI",,,,,,,,,,,,,,,
25845,"Jefferson City, MO",,,,,,,,,,,,,,,
25846,"Johnson City, TN",,,,,,,,,,,,,,,
25847,"Johnstown, PA",,,,,,,,,,,,,,,
25848,"Jonesboro, AR",,,,,,,,,,,,,,,
25849,"Joplin, MO",,,,,,,,,,,,,,,
25850,"Kalamazoo-Portage, MI",,,,,,,,,,,,,,,
25851,"Kankakee, IL",,,,,,,,,,,,,,,
25852,"Kansas City, MO-KS",3.0,2.46,0.52,0.77,0.17,0.93,"517,202",0.07,0.12,0.52,0.68,0.75,0.28,0.09,0.07
25853,"Kennewick-Richland, WA",,,,,,,,,,,,,,,
25854,"Killeen-Temple, TX",,,,,,,,,,,,,,,
25855,"Kingsport-Bristol, TN-VA",,,,,,,,,,,,,,,
25856,"Kingston, NY",,,,,,,,,,,,,,,
25857,"Knoxville, TN",4.0,2.42,0.49,0.68,0.26,0.91,"204,937",0.08,0.15,0.57,0.6,0.69,0.37,0.09,0.08
25858,"La Crosse-Onalaska, WI-MN",,,,,,,,,,,,,,,
25859,"Chicago-Naperville-Elgin, IL-IN-WI",4.0,2.55,0.47,0.71,0.23,0.9,"2,284,402",0.04,0.11,0.46,0.66,0.7,0.33,0.08,0.08
25860,"Lake Havasu City-Kingman, AZ",,,,,,,,,,,,,,,
25861,"Lakeland-Winter Haven, FL",3.0,2.68,0.46,0.8,0.16,0.88,"170,379",0.07,0.14,0.54,0.56,0.58,0.4,0.14,0.12
25862,"Lancaster, PA",4.0,2.57,0.56,0.77,0.2,0.88,"121,378",0.06,0.12,0.37,0.66,0.69,0.35,0.11,0.06
25863,"Lansing-East Lansing, MI",3.0,2.37,0.45,0.55,0.4,0.94,"131,186",0.06,0.15,0.45,0.62,0.75,0.36,0.05,0.07
25864,"Laredo, TX",,,,,,,,,,,,,,,
25865,"Las Vegas-Henderson-Paradise, NV",4.0,2.66,0.44,0.76,0.21,0.87,"551,521",0.08,0.13,0.45,0.64,0.61,0.37,0.13,0.12
25866,"Lawrence, KS",,,,,,,,,,,,,,,
25867,"Lawton, OK",,,,,,,,,,,,,,,
25868,"Lebanon, PA",,,,,,,,,,,,,,,
25869,"Lima, OH",,,,,,,,,,,,,,,
25870,"Lincoln, NE",,,,,,,,,,,,,,,
25871,"Little Rock-North Little Rock-Conway, AR",3.0,2.39,0.51,0.74,0.2,0.93,"183,176",0.08,0.15,0.56,0.63,0.66,0.39,0.08,0.1
25872,"Longview, TX",,,,,,,,,,,,,,,
25873,"Longview, WA",,,,,,,,,,,,,,,
25874,"Los Angeles-Long Beach-Glendale, CA",,,,,,,,,,,,,,,
25875,"Lubbock, TX",,,,,,,,,,,,,,,
25876,"Lynchburg, VA",,,,,,,,,,,,,,,
25877,"Macon-Bibb County, GA",,,,,,,,,,,,,,,
25878,"Madera, CA",,,,,,,,,,,,,,,
25879,"Madison, WI",3.0,2.28,0.48,0.62,0.33,0.96,"171,447",0.05,0.09,0.58,0.69,0.82,0.27,0.04,0.05
25880,"Manhattan, KS",,,,,,,,,,,,,,,
25881,"Mankato, MN",,,,,,,,,,,,,,,
25882,"Mansfield, OH",,,,,,,,,,,,,,,
25883,"McAllen-Edinburg-Mission, TX",3.0,3.25,0.48,0.81,0.15,0.69,"218,483",0.03,0.12,0.67,0.57,0.36,0.39,0.31,0.26
25884,"Medford, OR",,,,,,,,,,,,,,,
25885,"Memphis, TN-MS-AR",4.0,2.53,0.42,0.77,0.17,0.9,"327,202",0.07,0.13,0.64,0.64,0.64,0.37,0.11,0.13
25886,"Merced, CA",,,,,,,,,,,,,,,
25887,"Miami-Miami Beach-Kendall, FL",,,,,,,,,,,,,,,
25888,"Midland, MI",,,,,,,,,,,,,,,
25889,"Midland, TX",,,,,,,,,,,,,,,
25890,"Milwaukee-Waukesha, WI",3.0,2.37,0.47,0.76,0.2,0.93,"364,582",0.05,0.12,0.49,0.66,0.7,0.36,0.06,0.09
25891,"Minneapolis-St. Paul-Bloomington, MN-WI",4.0,2.5,0.5,0.72,0.21,0.95,"865,454",0.06,0.11,0.39,0.71,0.78,0.31,0.04,0.05
25892,"Mobile, AL",,,,,,,,,,,,,,,
25893,"Modesto, CA",4.0,3.14,0.47,0.77,0.19,0.78,"132,786",0.04,0.12,0.53,0.62,0.57,0.44,0.08,0.11
25894,"Monroe, MI",,,,,,,,,,,,,,,
25895,"Montgomery, AL",,,,,,,,,,,,,,,
25896,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4.0,2.48,0.46,0.69,0.25,0.92,"1,465,221",0.05,0.13,0.44,0.65,0.73,0.36,0.05,0.09
25897,"Morristown, TN",,,,,,,,,,,,,,,
25898,"Muskegon, MI",,,,,,,,,,,,,,,
